貨號,名稱,描述,原價,分類,標籤,圖片
6w1-93009-1,"6w1-93009-1_水晶+木質,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3000,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93009-1.jpg
6w1-93009-2,"6w1-93009-2_水晶+木質,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3000,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93009-2.jpg
6w1-93009-3,"6w1-93009-3_水晶+木質,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3000,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93009-3.jpg
6w1-93009-4,"6w1-93009-4_水晶+木質,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3000,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93009-4.jpg
6w1-93028-1,"6w1-93028-1_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-1.jpg
6w1-93028-2,"6w1-93028-2_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-2.jpg
6w1-93028-3,"6w1-93028-3_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-3.jpg
6w1-93028-4,"6w1-93028-4_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-4.jpg
6w1-93028-5,"6w1-93028-5_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-5.jpg
6w1-93028-6,"6w1-93028-6_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-6.jpg
6w1-93028-7,"6w1-93028-7_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-7.jpg
6w1-93028-8,"6w1-93028-8_水晶+金屬,水晶琉璃獎牌製作推薦,台北,新北,基隆,宜蘭,桃圓,新竹,台中,台南,高雄","獎牌獎盃製作,商家推薦,坤水晶琉璃藝品,竹工房,金箔賀匾設計,精美工廠,台北,新竹,桃園,苗栗,台中,高雄,基隆,彰化,嘉義,台南",3200,1獎牌>a09_水晶獎牌,"獎盃獎牌,獎牌獎杯製作,水晶琉璃藝品工坊,金牌獎,獎牌商家推薦",https://www.kh566.com/6/w1/6w1-93028-8.jpg
